Category,Description,GDPR Articles
Personal Data,"(Information relating to an identifiable person e.g. names, ID numbers,location data)",Article 4
Processing Data,"(Any operation performed on personal data e.g. collection, storage)",Article 4(2)
Consent,"(Freely given, specific, informed, and unambiguous consent)",Article 7
Sensitive Data,"(Data concerning racial/ethnic origin, political opinions, religious beliefs, health)",Article 9
Data Minimization,"(Personal data must be adequate, relevant and limited to what is necessary)",Article 5(1)(c)
Purpose Limitation,"(Collected for specified, explicit, and legitimate purposes)",Article 5(1)(b)
Accuracy,Personal data must be accurate and kept up-to-date,Article 5(1)(d)
Retention,Personal data should be kept only as long as necessary,Article 5(1)(e)
Data Security,(Appropriate measures to prevent unauthorized access loss or disclosure),Article 32
Right to Access,Right to know what personal data is being processed and why,Article 15
Right to Rectification,Right to correct inaccurate or incomplete data,Article 16
Right to Erasure,Right to request deletion of data under specific conditions,Article 17
Right to Restrict Processing,Right to limit the processing of personal data,Article 18
Right to Data Portability,(Right to receive personal data in a structured machine-readable format),Article 20
Right to Object,Right to object to data processing for legitimate reasons,Article 21
Automated Decisions,Right not to be subject to automated decision-making and profiling,Article 22
Data Controller,Entity determining the purposes and means of processing personal data,"Article 4(7), Article 24"
Data Processor,Entity processing data on behalf of the controller,"Article 4(8), Article 28"
Records of Processing,Obligation to maintain records of all processing activities,Article 30
Data Protection Impact Assessment (DPIA),Required when processing is likely to result in high risk to individuals' rights,Article 35
Data Breach Notification,Obligation to report data breaches to the supervisory authority within 72 hours,Article 33
Appointing Data Protection Officers (DPO),Organizations must appoint a DPO if their processing activities meet certain criteria,Article 37
Consent,Processing is lawful when the data subject has given consent,Article 6(1)(a)
Contractual Obligation,Processing necessary for the performance of a contract,Article 6(1)(b)
Legal Obligation,Processing necessary to comply with a legal obligation,Article 6(1)(c)
Legitimate Interest,Processing necessary for legitimate interests pursued by the controller or a third party,Article 6(1)(f)
Supervisory Authorities,Independent authorities monitoring compliance with GDPR,Articles 51-59
Fines and Penalties,Penalties for non-compliance can reach up to 20 million EUR or 4% of global turnover,Article 83
